ylat,xlong,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
32.89404,-100.95885,13.155005,7.324728,26.059721,7.132912,193.01482,88.75586
32.88586,-101.04512,13.135674,7.344846,25.99455,7.215396,190.87709,89.72531
32.87523,-101.00656,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88942,-101.00449,13.135674,7.344846,25.99455,7.215396,190.87709,89.72531
32.85955,-101.00104,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
32.90682,-100.96024,13.094382,7.350386,26.009777,7.4329624,193.15659,88.495895
32.88907,-100.9812,13.168173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88186,-100.95559,13.246007,7.324728,26.059721,7.132912,193.01482,88.75586
32.86501,-100.96447,13.252674,7.344846,25.99455,7.215396,190.87709,89.72531
32.90313,-101.02161,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.90503,-100.98434,13.166233,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.89553,-101.03336,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
32.84995,-100.96834,13.265675,7.344846,25.99455,7.215396,190.87709,89.72531
32.88322,-100.95171,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
32.88287,-101.02219,13.207173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88099,-100.94438,13.168007,7.324728,26.059721,7.132912,193.01482,88.75586
32.88408,-101.04144,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
32.90782,-100.94537,13.159384,7.3503857,26.009777,7.4329624,193.15659,88.495895
32.89324,-101.01796,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
32.94167,-100.98741,13.211733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.86523,-100.97791,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
32.90759,-101.03596,13.250732,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.8774,-100.92928,13.278506,7.324728,26.059721,7.132912,193.01482,88.75586
32.88055,-100.93247,13.200507,7.3247285,26.059721,7.132912,193.01482,88.75586
32.88419,-101.0376,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
32.89597,-101.02938,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
32.90683,-100.99145,13.133733,7.3640676,25.927923,7.3464375,192.32414,87.97694
32.88242,-100.94788,13.161506,7.324728,26.059721,7.132912,193.01482,88.75586
32.91062,-100.94103,13.178883,7.3503857,26.009777,7.4329624,193.15659,88.495895
32.87782,-100.99825,13.161674,7.344846,25.99455,7.215396,190.87709,89.72531
32.88602,-101.04897,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
32.88412,-101.02586,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
32.90727,-100.95271,13.081383,7.350386,26.009777,7.4329624,193.15659,88.495895
32.91134,-101.02806,13.192231,7.364067,25.927923,7.3464375,192.32414,87.97694
32.86741,-100.95931,13.233006,7.324728,26.059721,7.132912,193.01482,88.75586
32.85074,-100.95675,13.187505,7.324728,26.059721,7.132912,193.01482,88.75586
32.92854,-101.02016,13.172733,7.364068,25.927923,7.3464375,192.32414,87.97694
32.87777,-100.99439,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
32.88417,-101.03369,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
33.58089,-101.82389,12.199399,7.380623,25.827717,8.098728,202.74765,87.207085
29.21359,-100.16409,17.522217,6.526991,20.47651,7.0333343,147.48636,90.71176
29.21355,-100.14316,17.576517,6.51779,21.138725,7.116655,148.06085,90.02744
29.1778,-100.21279,17.979519,6.51779,21.138725,7.116655,148.06085,90.02744
29.1629,-100.22959,18.169954,6.5743747,20.70732,7.247107,149.0483,90.66329
32.2156,-101.41539,13.630748,7.341335,25.421963,7.974176,187.26772,81.98748
29.1915,-100.2068,17.875519,6.51779,21.138725,7.116655,148.06085,90.02744
29.2145,-100.14089,17.661018,6.51779,21.138725,7.116655,148.06085,90.02744
29.18139,-100.17969,17.600218,6.526991,20.47651,7.0333343,147.48636,90.71176
29.2014,-100.1769,17.680517,6.5177894,21.138725,7.116655,148.06085,90.02744
29.2102,-100.17001,17.65222,6.526991,20.47651,7.0333343,147.48636,90.71176
29.19594,-100.193,17.63922,6.526991,20.47651,7.0333343,147.48636,90.71176
29.17819,-100.18578,17.587217,6.526991,20.47651,7.0333343,147.48636,90.71176
29.1794,-100.21169,17.999016,6.5177894,21.138725,7.116655,148.06085,90.02744
29.196,-100.19949,17.593718,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.19065,-100.19348,17.56772,6.526991,20.47651,7.0333343,147.48636,90.71176
29.19263,-100.20488,17.856016,6.51779,21.138725,7.116655,148.06085,90.02744
29.18609,-100.1974,17.600218,6.526991,20.47651,7.0333343,147.48636,90.71176
29.1795,-100.18414,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.19494,-100.20116,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.18908,-100.21107,17.960016,6.51779,21.138725,7.116655,148.06085,90.02744
29.1846,-100.19869,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.1638,-100.22759,18.169954,6.5743747,20.70732,7.247107,149.0483,90.66329
29.18767,-100.19614,17.645718,6.526991,20.47651,7.0333343,147.48636,90.71176
29.1696,-100.22199,18.033455,6.5743747,20.70732,7.247107,149.0483,90.66329
29.16489,-100.22559,18.111454,6.5743737,20.70732,7.247107,149.0483,90.66329
29.1838,-100.2011,17.658718,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.1828,-100.20619,17.901518,6.51779,21.138725,7.116655,148.06085,90.02744
29.19581,-100.19611,17.528719,6.526991,20.47651,7.0333343,147.48636,90.71176
29.2124,-100.16589,17.587217,6.526991,20.47651,7.0333343,147.48636,90.71176
29.18432,-100.1711,17.606718,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.20026,-100.17883,17.635017,6.51779,21.138725,7.116655,148.06085,90.02744
29.18327,-100.17395,17.580719,6.526991,20.47651,7.0333343,147.48636,90.71176
29.20406,-100.17688,17.68702,6.5177894,21.138725,7.116655,148.06085,90.02744
29.2128,-100.14569,17.518019,6.51779,21.138725,7.116655,148.06085,90.02744
29.1887,-100.19409,17.561218,6.526991,20.47651,7.0333343,147.48636,90.71176
29.18324,-100.20351,17.869019,6.51779,21.138725,7.116655,148.06085,90.02744
29.16789,-100.22299,18.059454,6.574374,20.70732,7.247107,149.0483,90.66329
29.19051,-100.20889,17.940517,6.5177894,21.138725,7.116655,148.06085,90.02744
29.18049,-100.18203,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.21103,-100.16765,17.671719,6.5269914,20.47651,7.0333343,147.48636,90.71176
29.1724,-100.21909,17.968456,6.5743747,20.70732,7.247107,149.0483,90.66329
29.18114,-100.21063,17.888515,6.5177894,21.138725,7.116655,148.06085,90.02744
29.2061,-100.17679,17.641518,6.5177894,21.138725,7.116655,148.06085,90.02744
29.1711,-100.22059,17.994455,6.574374,20.70732,7.247107,149.0483,90.66329
29.1661,-100.22399,18.078955,6.574374,20.70732,7.247107,149.0483,90.66329
29.1982,-100.1825,17.528719,6.526991,20.47651,7.0333343,147.48636,90.71176
29.1752,-100.2161,17.979519,6.51779,21.138725,7.116655,148.06085,90.02744
29.1995,-100.18089,17.693518,6.5177894,21.138725,7.116655,148.06085,90.02744
29.1939,-100.20329,17.752016,6.51779,21.138725,7.116655,148.06085,90.02744
29.17638,-100.21447,17.960016,6.51779,21.138725,7.116655,148.06085,90.02744
29.1823,-100.20879,17.869019,6.51779,21.138725,7.116655,148.06085,90.02744
29.21569,-100.13879,17.550518,6.51779,21.138725,7.116655,148.06085,90.02744
29.21487,-100.16232,17.62852,6.51779,21.138725,7.116655,148.06085,90.02744
29.1737,-100.21749,17.955454,6.5743747,20.70732,7.247107,149.0483,90.66329
29.21619,-100.16059,17.641518,6.5177894,21.138725,7.116655,148.06085,90.02744
29.21703,-100.15817,17.635017,6.51779,21.138725,7.116655,148.06085,90.02744
33.2012,-97.161,14.160906,7.199566,21.747625,6.697647,181.81822,92.30618
33.2021,-97.16089,14.160906,7.199566,21.747625,6.697647,181.81822,92.30618
33.20009,-97.16089,14.160906,7.199566,21.747625,6.697647,181.81822,92.30618
31.18605,-101.81791,14.55447,7.1194134,27.893421,8.373063,185.416,76.02387
31.14626,-101.82633,14.418746,7.172492,27.360645,8.420737,184.03067,76.45014
31.16805,-101.83432,14.438244,7.172492,27.360645,8.420737,184.03067,76.45014
31.16979,-101.82646,14.477245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.17894,-101.80737,14.560968,7.1194143,27.893421,8.373063,185.416,76.02387
31.14795,-101.87139,14.4057455,7.172492,27.360645,8.420737,184.03067,76.45014
31.16272,-101.85746,14.4057455,7.172492,27.360645,8.420737,184.03067,76.45014
31.17757,-101.87174,14.444745,7.172492,27.360645,8.420737,184.03067,76.45014
31.16392,-101.83651,14.418746,7.172492,27.360645,8.420737,184.03067,76.45014
31.1853,-101.82196,14.560968,7.1194143,27.893421,8.373063,185.416,76.02387
31.17893,-101.81159,14.612968,7.119414,27.893421,8.373063,185.416,76.02387
31.16694,-101.86314,14.412245,7.172492,27.360645,8.420737,184.03067,76.45014
31.14037,-101.83199,14.279058,7.1551538,26.860819,8.222903,182.61655,77.65019
31.16741,-101.86862,14.418746,7.172492,27.360645,8.420737,184.03067,76.45014
31.16814,-101.84943,14.444745,7.172492,27.360645,8.420737,184.03067,76.45014
31.14247,-101.81868,14.39847,7.1194143,27.893421,8.373063,185.416,76.02387
31.1439,-101.80152,14.39197,7.119414,27.893421,8.373063,185.416,76.02387
31.13862,-101.79229,14.24161,7.0687404,27.077309,8.203398,185.15013,78.05665
31.17503,-101.84021,14.392745,7.172492,27.360645,8.420737,184.03067,76.45014
31.17851,-101.82311,14.55447,7.1194134,27.893421,8.373063,185.416,76.02387
31.15428,-101.81708,14.39197,7.119414,27.893421,8.373063,185.416,76.02387
31.18298,-101.80513,14.599969,7.119414,27.893421,8.373063,185.416,76.02387
31.1812,-101.79464,14.567469,7.119414,27.893421,8.373063,185.416,76.02387
31.15388,-101.81272,14.39197,7.119414,27.893421,8.373063,185.416,76.02387
31.15476,-101.86536,14.4317465,7.172492,27.360645,8.420737,184.03067,76.45014
31.1554,-101.85524,14.444745,7.172492,27.360645,8.420737,184.03067,76.45014
31.16863,-101.83028,14.451245,7.172492,27.360645,8.420737,184.03067,76.45014
31.17646,-101.83627,14.470747,7.172492,27.360645,8.420737,184.03067,76.45014
31.15374,-101.84554,14.477245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.12967,-101.82668,14.272557,7.1551538,26.860819,8.222903,182.61655,77.65019
31.15816,-101.8382,14.4317465,7.172492,27.360645,8.420737,184.03067,76.45014
31.18126,-101.80058,14.55447,7.1194134,27.893421,8.373063,185.416,76.02387
31.15155,-101.82536,14.425245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.12752,-101.82191,14.266058,7.1551538,26.860819,8.222903,182.61655,77.65019
31.1711,-101.80673,14.567469,7.119414,27.893421,8.373063,185.416,76.02387
31.17481,-101.79771,14.437468,7.1194143,27.893421,8.373063,185.416,76.02387
31.15187,-101.86893,14.425245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.15658,-101.8317,14.451245,7.172492,27.360645,8.420737,184.03067,76.45014
31.1754,-101.86791,14.425245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.14259,-101.80478,14.39847,7.1194143,27.893421,8.373063,185.416,76.02387
31.15833,-101.85992,14.418746,7.172492,27.360645,8.420737,184.03067,76.45014
31.17766,-101.83265,14.477245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.17012,-101.84633,14.418746,7.172492,27.360645,8.420737,184.03067,76.45014
31.14528,-101.81404,14.39197,7.119414,27.893421,8.373063,185.416,76.02387
31.15996,-101.87334,14.4057455,7.172492,27.360645,8.420737,184.03067,76.45014
31.18284,-101.78684,14.567469,7.119414,27.893421,8.373063,185.416,76.02387
31.14004,-101.78848,14.24811,7.068741,27.077309,8.203398,185.15013,78.05665
31.15315,-101.82124,14.404968,7.1194143,27.893421,8.373063,185.416,76.02387
31.15494,-101.84071,14.425245,7.1724916,27.360645,8.420737,184.03067,76.45014
31.15442,-101.80855,14.39197,7.119414,27.893421,8.373063,185.416,76.02387
31.17671,-101.80267,14.456969,7.119414,27.893421,8.373063,185.416,76.02387
31.14043,-101.83636,14.292059,7.1551538,26.860819,8.222903,182.61655,77.65019
31.17666,-101.86376,14.438244,7.172492,27.360645,8.420737,184.03067,76.45014
31.18263,-101.79098,14.55447,7.1194134,27.893421,8.373063,185.416,76.02387
31.16818,-101.81368,14.55447,7.1194134,27.893421,8.373063,185.416,76.02387
31.16992,-101.84187,14.4057455,7.172492,27.360645,8.420737,184.03067,76.45014
31.17656,-101.85871,14.4317465,7.172492,27.360645,8.420737,184.03067,76.45014
31.14236,-101.82849,14.4317465,7.172492,27.360645,8.420737,184.03067,76.45014
31.1651,-101.85374,14.412245,7.172492,27.360645,8.420737,184.03067,76.45014
