p_year,t_cap,t_hh,t_rd,xlong,ylat,avg_temp,std_temp,avg_wind_speed,std_wind_speed,avg_wind_direction,std_wind_direction
2017,2300.0,80.0,116.0,-101.02978,32.88414,13.155172,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96788,32.92222,13.133384,7.3503857,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.96858,32.87843,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96838,32.86588,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.97714,32.90326,13.250732,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99703,32.89035,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.00077,32.89029,13.129174,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98793,32.90592,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.95131,32.86426,13.337006,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.02397,32.91259,13.153234,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-101.00922,32.92171,13.159734,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-101.01872,32.88121,13.278673,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.01402,32.90599,13.127233,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99144,32.94153,13.374233,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.95647,32.90717,13.081383,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.96442,32.85054,13.239674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.95535,32.8652,13.291505,7.3247285,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.94555,32.89691,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.96391,32.90597,13.120383,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.94943,32.89632,13.1290045,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.04857,32.90463,13.270233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.93641,32.88242,13.265506,7.3247285,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.95885,32.89404,13.155005,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.04512,32.88586,13.135674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.00656,32.87523,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.00449,32.88942,13.135674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.00104,32.85955,13.285173,7.3448462,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96024,32.90682,13.094382,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.9812,32.88907,13.168173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.95559,32.88186,13.246007,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.96447,32.86501,13.252674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.02161,32.90313,13.146733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.98434,32.90503,13.166233,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-101.03336,32.89553,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.96834,32.84995,13.265675,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.95171,32.88322,13.1810055,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.02219,32.88287,13.207173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.94438,32.88099,13.168007,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.04144,32.88408,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.94537,32.90782,13.159384,7.3503857,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-101.01796,32.89324,13.246174,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.98741,32.94167,13.211733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.97791,32.86523,13.194173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.03596,32.90759,13.250732,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.92928,32.8774,13.278506,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.93247,32.88055,13.200507,7.3247285,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.0376,32.88419,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.02938,32.89597,13.226675,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.99145,32.90683,13.133733,7.3640676,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.94788,32.88242,13.161506,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.94103,32.91062,13.178883,7.3503857,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-100.99825,32.87782,13.161674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.04897,32.88602,13.142174,7.3448453,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.02586,32.88412,13.174674,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-100.95271,32.90727,13.081383,7.350386,26.009777,7.4329624,193.15659,88.495895
2017,2300.0,80.0,116.0,-101.02806,32.91134,13.192231,7.364067,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.95931,32.86741,13.233006,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-100.95675,32.85074,13.187505,7.324728,26.059721,7.132912,193.01482,88.75586
2017,2300.0,80.0,116.0,-101.02016,32.92854,13.172733,7.364068,25.927923,7.3464375,192.32414,87.97694
2017,2300.0,80.0,116.0,-100.99439,32.87777,13.181173,7.344846,25.99455,7.215396,190.87709,89.72531
2017,2300.0,80.0,116.0,-101.03369,32.88417,13.122673,7.344846,25.99455,7.215396,190.87709,89.72531
2005,660.0,50.0,47.0,-101.82389,33.58089,12.199399,7.380623,25.827717,8.098728,202.74765,87.207085
2012,1800.0,80.0,100.0,-100.16409,29.21359,17.522217,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.14316,29.21355,17.576517,6.51779,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.21279,29.1778,17.979519,6.51779,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.22959,29.1629,18.169954,6.5743747,20.70732,7.247107,149.0483,90.66329
1999,660.0,65.0,47.0,-101.41539,32.2156,13.630748,7.341335,25.421963,7.974176,187.26772,81.98748
2012,1800.0,80.0,100.0,-100.2068,29.1915,17.875519,6.51779,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.14089,29.2145,17.661018,6.51779,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.17969,29.18139,17.600218,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.1769,29.2014,17.680517,6.5177894,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.17001,29.2102,17.65222,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.193,29.19594,17.63922,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.18578,29.17819,17.587217,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.21169,29.1794,17.999016,6.5177894,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.19949,29.196,17.593718,6.5269914,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.19348,29.19065,17.56772,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.20488,29.19263,17.856016,6.51779,21.138725,7.116655,148.06085,90.02744
2012,1800.0,80.0,100.0,-100.1974,29.18609,17.600218,6.526991,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.18414,29.1795,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
2012,1800.0,80.0,100.0,-100.20116,29.19494,17.574217,6.5269914,20.47651,7.0333343,147.48636,90.71176
